
==================== New Training Session: Wed Feb 11 08:31:18 2026 ====================
Epoch: 43 | loss_cls: 1.57612 | loss_clst: 0.11222 | loss_orth: 0.00167 | loss_sep: -0.04874 | loss_struc: 0.00554 | test_acc: 85.02564 | test_loss: 0.80271 | test_mf1: 77.25998 | train_acc: 98.95720 | train_loss: 1.64681 | val_acc: 88.28742 | val_loss: 0.60700 | val_mf1: 80.50710
Epoch: 44 | loss_cls: 1.01933 | loss_clst: 0.10588 | loss_orth: 0.00156 | loss_sep: -0.04730 | loss_struc: 0.00555 | test_acc: 83.02564 | test_loss: 0.86757 | test_mf1: 77.53832 | train_acc: 99.37105 | train_loss: 1.08502 | val_acc: 88.32595 | val_loss: 0.58437 | val_mf1: 82.01983
Epoch: 45 | loss_cls: 1.68917 | loss_clst: 0.11704 | loss_orth: 0.00141 | loss_sep: -0.05122 | loss_struc: 0.00574 | test_acc: 83.48718 | test_loss: 1.00031 | test_mf1: 77.20999 | train_acc: 98.90819 | train_loss: 1.76213 | val_acc: 87.11231 | val_loss: 0.63946 | val_mf1: 80.32117
Epoch: 46 | loss_cls: 1.39310 | loss_clst: 0.11551 | loss_orth: 0.00131 | loss_sep: -0.05063 | loss_struc: 0.00561 | test_acc: 83.12821 | test_loss: 1.06226 | test_mf1: 75.35037 | train_acc: 99.09878 | train_loss: 1.46491 | val_acc: 89.01946 | val_loss: 0.64687 | val_mf1: 81.63318
Epoch: 47 | loss_cls: 1.21463 | loss_clst: 0.10773 | loss_orth: 0.00123 | loss_sep: -0.04665 | loss_struc: 0.00551 | test_acc: 85.48718 | test_loss: 0.94845 | test_mf1: 77.64382 | train_acc: 99.19680 | train_loss: 1.28243 | val_acc: 88.32595 | val_loss: 0.67446 | val_mf1: 80.29237
Epoch: 48 | loss_cls: 1.23112 | loss_clst: 0.09949 | loss_orth: 0.00112 | loss_sep: -0.04288 | loss_struc: 0.00564 | test_acc: 84.10256 | test_loss: 0.90024 | test_mf1: 77.68509 | train_acc: 99.18046 | train_loss: 1.29449 | val_acc: 88.05625 | val_loss: 0.63294 | val_mf1: 81.85990
Epoch: 49 | loss_cls: 1.19590 | loss_clst: 0.10952 | loss_orth: 0.00104 | loss_sep: -0.04777 | loss_struc: 0.00564 | test_acc: 84.82051 | test_loss: 0.93912 | test_mf1: 77.91715 | train_acc: 99.22130 | train_loss: 1.26433 | val_acc: 89.09651 | val_loss: 0.62836 | val_mf1: 81.82856
Epoch: 50 | loss_cls: 0.90611 | loss_clst: 0.10448 | loss_orth: 0.00101 | loss_sep: -0.04376 | loss_struc: 0.00535 | test_acc: 83.84615 | test_loss: 0.90144 | test_mf1: 77.41255 | train_acc: 99.41189 | train_loss: 0.97319 | val_acc: 87.61318 | val_loss: 0.68689 | val_mf1: 80.36574
Epoch: 51 | loss_cls: 1.33383 | loss_clst: 0.11530 | loss_orth: 0.00093 | loss_sep: -0.05078 | loss_struc: 0.00559 | test_acc: 84.66667 | test_loss: 0.88834 | test_mf1: 77.76715 | train_acc: 99.17774 | train_loss: 1.40487 | val_acc: 88.44153 | val_loss: 0.60461 | val_mf1: 81.44025
Epoch: 52 | loss_cls: 1.24274 | loss_clst: 0.10808 | loss_orth: 0.00089 | loss_sep: -0.04968 | loss_struc: 0.00557 | test_acc: 82.00000 | test_loss: 0.93390 | test_mf1: 76.05478 | train_acc: 99.15596 | train_loss: 1.30760 | val_acc: 87.72876 | val_loss: 0.74738 | val_mf1: 80.83547
Epoch: 53 | loss_cls: 1.15022 | loss_clst: 0.11483 | loss_orth: 0.00080 | loss_sep: -0.05263 | loss_struc: 0.00558 | test_acc: 83.38462 | test_loss: 1.07577 | test_mf1: 75.66581 | train_acc: 99.26759 | train_loss: 1.21879 | val_acc: 88.61491 | val_loss: 0.64570 | val_mf1: 81.13095
Epoch: 54 | loss_cls: 0.99195 | loss_clst: 0.11129 | loss_orth: 0.00072 | loss_sep: -0.05180 | loss_struc: 0.00549 | test_acc: 85.33333 | test_loss: 1.06156 | test_mf1: 77.80053 | train_acc: 99.34110 | train_loss: 1.05766 | val_acc: 88.28742 | val_loss: 0.72431 | val_mf1: 80.02214
Epoch: 55 | loss_cls: 1.01625 | loss_clst: 0.09898 | loss_orth: 0.00071 | loss_sep: -0.04689 | loss_struc: 0.00515 | test_acc: 84.35897 | test_loss: 0.99707 | test_mf1: 77.20186 | train_acc: 99.32749 | train_loss: 1.07420 | val_acc: 88.19110 | val_loss: 0.68690 | val_mf1: 80.75334
Epoch: 56 | loss_cls: 1.00671 | loss_clst: 0.09470 | loss_orth: 0.00067 | loss_sep: -0.04257 | loss_struc: 0.00512 | test_acc: 84.76923 | test_loss: 0.88808 | test_mf1: 78.73022 | train_acc: 99.33021 | train_loss: 1.06462 | val_acc: 88.76902 | val_loss: 0.65192 | val_mf1: 82.57843
Epoch: 57 | loss_cls: 1.05633 | loss_clst: 0.09942 | loss_orth: 0.00055 | loss_sep: -0.04588 | loss_struc: 0.00526 | test_acc: 84.82051 | test_loss: 0.93725 | test_mf1: 77.32203 | train_acc: 99.31932 | train_loss: 1.11569 | val_acc: 88.19110 | val_loss: 0.72010 | val_mf1: 79.36387
Epoch: 58 | loss_cls: 1.11750 | loss_clst: 0.10809 | loss_orth: 0.00065 | loss_sep: -0.04754 | loss_struc: 0.00533 | test_acc: 84.66667 | test_loss: 1.00130 | test_mf1: 77.52548 | train_acc: 99.24581 | train_loss: 1.18402 | val_acc: 88.19110 | val_loss: 0.72252 | val_mf1: 80.73074
Epoch: 59 | loss_cls: 0.91932 | loss_clst: 0.10202 | loss_orth: 0.00059 | loss_sep: -0.04839 | loss_struc: 0.00534 | test_acc: 85.33333 | test_loss: 0.94274 | test_mf1: 78.09497 | train_acc: 99.39556 | train_loss: 0.97888 | val_acc: 88.67270 | val_loss: 0.66103 | val_mf1: 81.37911
Epoch: 60 | loss_cls: 0.91926 | loss_clst: 0.10024 | loss_orth: 0.00055 | loss_sep: -0.04732 | loss_struc: 0.00524 | test_acc: 79.74359 | test_loss: 1.16104 | test_mf1: 75.83722 | train_acc: 99.41734 | train_loss: 0.97796 | val_acc: 82.85494 | val_loss: 0.91176 | val_mf1: 76.91706
Epoch: 61 | loss_cls: 1.18755 | loss_clst: 0.09273 | loss_orth: 0.00049 | loss_sep: -0.04418 | loss_struc: 0.00524 | test_acc: 84.35897 | test_loss: 1.05349 | test_mf1: 77.40700 | train_acc: 99.18591 | train_loss: 1.24184 | val_acc: 88.71123 | val_loss: 0.63950 | val_mf1: 82.23387
Epoch: 62 | loss_cls: 0.79349 | loss_clst: 0.08790 | loss_orth: 0.00052 | loss_sep: -0.04101 | loss_struc: 0.00513 | test_acc: 84.20513 | test_loss: 1.03816 | test_mf1: 77.26410 | train_acc: 99.55347 | train_loss: 0.84603 | val_acc: 88.19110 | val_loss: 0.74543 | val_mf1: 80.34966
Epoch: 63 | loss_cls: 0.75784 | loss_clst: 0.08640 | loss_orth: 0.00059 | loss_sep: -0.04120 | loss_struc: 0.00505 | test_acc: 83.74359 | test_loss: 1.10878 | test_mf1: 76.50655 | train_acc: 99.49357 | train_loss: 0.80867 | val_acc: 87.97919 | val_loss: 0.75253 | val_mf1: 80.24452
Epoch: 64 | loss_cls: 0.87428 | loss_clst: 0.09566 | loss_orth: 0.00056 | loss_sep: -0.04794 | loss_struc: 0.00525 | test_acc: 83.64103 | test_loss: 1.04178 | test_mf1: 76.91553 | train_acc: 99.40100 | train_loss: 0.92781 | val_acc: 88.61491 | val_loss: 0.65070 | val_mf1: 82.06116
Epoch: 65 | loss_cls: 1.06626 | loss_clst: 0.09401 | loss_orth: 0.00055 | loss_sep: -0.04513 | loss_struc: 0.00507 | test_acc: 83.48718 | test_loss: 1.05505 | test_mf1: 76.57954 | train_acc: 99.29754 | train_loss: 1.12076 | val_acc: 88.78829 | val_loss: 0.68108 | val_mf1: 82.37264
Epoch: 66 | loss_cls: 0.62505 | loss_clst: 0.08950 | loss_orth: 0.00055 | loss_sep: -0.04491 | loss_struc: 0.00506 | test_acc: 84.15385 | test_loss: 1.05245 | test_mf1: 76.17086 | train_acc: 99.62699 | train_loss: 0.67525 | val_acc: 89.25063 | val_loss: 0.70838 | val_mf1: 81.59605
Epoch: 67 | loss_cls: 1.15671 | loss_clst: 0.09681 | loss_orth: 0.00049 | loss_sep: -0.04656 | loss_struc: 0.00555 | test_acc: 83.79487 | test_loss: 0.98719 | test_mf1: 77.46966 | train_acc: 99.23492 | train_loss: 1.21300 | val_acc: 87.53612 | val_loss: 0.66830 | val_mf1: 80.54909
Epoch: 68 | loss_cls: 0.97062 | loss_clst: 0.09594 | loss_orth: 0.00043 | loss_sep: -0.04772 | loss_struc: 0.00556 | test_acc: 84.51282 | test_loss: 1.05547 | test_mf1: 77.09747 | train_acc: 99.40372 | train_loss: 1.02483 | val_acc: 88.94240 | val_loss: 0.71063 | val_mf1: 81.36195

==================== New Training Session: Thu Feb 12 15:45:19 2026 ====================
Epoch: 1 | loss_cls: 31.34861 | loss_clst: 0.07975 | loss_orth: 0.00701 | loss_sep: -0.00594 | loss_struc: 0.01229 | test_acc: 85.69231 | test_loss: 0.42128 | test_mf1: 78.56408 | train_acc: 80.98453 | train_loss: 31.44172 | val_acc: 89.71296 | val_loss: 0.35344 | val_mf1: 84.62280
Epoch: 2 | loss_cls: 20.54954 | loss_clst: 0.06987 | loss_orth: 0.00699 | loss_sep: -0.00906 | loss_struc: 0.01605 | test_acc: 86.15385 | test_loss: 0.38548 | test_mf1: 79.81893 | train_acc: 86.25299 | train_loss: 20.63339 | val_acc: 90.13678 | val_loss: 0.30739 | val_mf1: 85.29488
Epoch: 3 | loss_cls: 18.16553 | loss_clst: 0.04989 | loss_orth: 0.00692 | loss_sep: -0.01139 | loss_struc: 0.01712 | test_acc: 87.79487 | test_loss: 0.34883 | test_mf1: 81.41424 | train_acc: 87.39109 | train_loss: 18.22808 | val_acc: 91.79349 | val_loss: 0.25219 | val_mf1: 86.94381
Epoch: 4 | loss_cls: 16.74623 | loss_clst: 0.04757 | loss_orth: 0.00685 | loss_sep: -0.01406 | loss_struc: 0.01717 | test_acc: 87.17949 | test_loss: 0.36556 | test_mf1: 82.02583 | train_acc: 88.36038 | train_loss: 16.80375 | val_acc: 89.94413 | val_loss: 0.30341 | val_mf1: 84.81876
Epoch: 5 | loss_cls: 15.58324 | loss_clst: 0.04848 | loss_orth: 0.00676 | loss_sep: -0.01629 | loss_struc: 0.01701 | test_acc: 89.23077 | test_loss: 0.33688 | test_mf1: 83.95934 | train_acc: 89.09007 | train_loss: 15.63920 | val_acc: 91.54306 | val_loss: 0.24566 | val_mf1: 86.49961
Epoch: 6 | loss_cls: 14.60201 | loss_clst: 0.05275 | loss_orth: 0.00666 | loss_sep: -0.01788 | loss_struc: 0.01679 | test_acc: 82.71795 | test_loss: 0.52424 | test_mf1: 77.81646 | train_acc: 89.76530 | train_loss: 14.66033 | val_acc: 90.23310 | val_loss: 0.29425 | val_mf1: 85.00028
Epoch: 7 | loss_cls: 13.65867 | loss_clst: 0.05134 | loss_orth: 0.00651 | loss_sep: -0.01824 | loss_struc: 0.01671 | test_acc: 85.84615 | test_loss: 0.43533 | test_mf1: 78.02642 | train_acc: 90.29623 | train_loss: 13.71499 | val_acc: 88.92314 | val_loss: 0.34971 | val_mf1: 80.33513
Epoch: 8 | loss_cls: 12.62896 | loss_clst: 0.04938 | loss_orth: 0.00638 | loss_sep: -0.01849 | loss_struc: 0.01647 | test_acc: 85.33333 | test_loss: 0.42551 | test_mf1: 80.80807 | train_acc: 91.12394 | train_loss: 12.68269 | val_acc: 91.04219 | val_loss: 0.25247 | val_mf1: 86.66319
Epoch: 9 | loss_cls: 12.02978 | loss_clst: 0.05257 | loss_orth: 0.00623 | loss_sep: -0.02071 | loss_struc: 0.01669 | test_acc: 85.07692 | test_loss: 0.48481 | test_mf1: 77.26083 | train_acc: 91.36354 | train_loss: 12.08457 | val_acc: 90.84955 | val_loss: 0.25132 | val_mf1: 85.80193
Epoch: 10 | loss_cls: 11.21146 | loss_clst: 0.05283 | loss_orth: 0.00604 | loss_sep: -0.02157 | loss_struc: 0.01632 | test_acc: 85.33333 | test_loss: 0.47267 | test_mf1: 79.09853 | train_acc: 91.98432 | train_loss: 11.26507 | val_acc: 90.57985 | val_loss: 0.29403 | val_mf1: 85.58082
Epoch: 11 | loss_cls: 10.64103 | loss_clst: 0.05225 | loss_orth: 0.00584 | loss_sep: -0.02310 | loss_struc: 0.01630 | test_acc: 87.28205 | test_loss: 0.42116 | test_mf1: 80.60367 | train_acc: 92.47441 | train_loss: 10.69232 | val_acc: 90.71470 | val_loss: 0.27630 | val_mf1: 85.34050
Epoch: 12 | loss_cls: 10.01612 | loss_clst: 0.05392 | loss_orth: 0.00565 | loss_sep: -0.02727 | loss_struc: 0.01623 | test_acc: 86.46154 | test_loss: 0.44796 | test_mf1: 79.42735 | train_acc: 92.86920 | train_loss: 10.06465 | val_acc: 90.92660 | val_loss: 0.27379 | val_mf1: 86.09355
